name,description,tip,highlights,officialname,care,size,warning
Christmas Cactus,"Many of the plants sold as Christmas cactus are a closely related species sometimes calledThanksgiving cactus, because it usually blooms a few weeks earlier than Christmas cactus. Both types flower in response to cool temperatures and short day length. In fall, keep the plant in a sunny, cool, frost-free location until you see flower buds beginning to develop.",,Why We Love It: It's an old-fashioned favorite with exotically shaped blooms.,Schlumbergera x buckleyi,"Bright light; 70-80 degrees F., 55 degrees F. in fall; keep soil moderately dry",To 12 inches tall and 18 inches wide,None. You're good!
Brazilian Fireworks,"Wondering where this plant received its moniker? The fireworks part of its name comes from two sources: In late spring and summer it sends up deep red flower bracts that develop lavender flowers, creating an explosion of color. And then, as flowers fade, it can shoot its small black seeds across a room. Like many houseplants, it's also a great choice for growing outdoors in a shade garden.",,Why We Love It: It's always attractive. You never have to worry about what it looks like when it's done blooming because the beautiful leaves are marked with silver.,Porphyrocoma pohliana 'Maracas',Medium to bright light; 65-80 degrees F.; keep soil evenly moist,To 1 foot tall and 2 feet wide,None. You're good!
Crown-of-Thorns,"This poinsettia relative tolerates neglect, as long as you give it bright to intense light and keep it on the dry side. It has thick, spiny gray-brown stems that are sparsely branched.",,"Why We Love It: It's an easy-care, low-water plant whose colorful bract-like flowers last for weeks.",Euphorbia milii,Bright to intense light; 65-75 degrees F.; keep soil moderately dry,To 3 feet tall and wide,Note: This plant is poisonous and the milky sap can cause illness or skin irritation if eaten or chewed by children or pets. It's also very thorny.
Gloxinia,"Gloxinia usually flowers in late winter or early spring, bearing 3-inch-wide bell-shape blooms in rich colors, often marked with contrasting bands or speckles of white. Closely related to African violets, it prefers warm temperatures and high humidity. Keep water off the foliage to prevent leaf spots. After gloxinia blooms fade, allow the plant to go dormant by withholding water. When new growth begins again, resume watering.",,"Why We Love It: The huge, bell-shaped flowers are simply gorgeous.",Sinningia speciosa,"Medium to bright light; 65-80 degrees F., 55-75 degrees F. when dormant; keep soil evenly moist except when dormant",To 18 inches tall and 24 inches wide,None. You're good!
Guppy Plant,"This African violet relative blooms most in summer, but if it has enough light, will flower all year long. Some other species bear their blooms on long stalks that dangle like a fishing line with a goldfish at the end of the line. The arching stems and dangling blooms of guppy plant make it a good choice for hanging baskets.",,Why We Love It: How can you not love a plant whose flowers look like goldfish! It's a fun plant for getting children excited about houseplants.,Nematanthus spp.,"Medium to bright light; 65-80 degrees F., 50-55 degrees F. in winter; keep soil moderately dry",To 2 feet tall and 3 feet wide,None. You're good!
Lipstick Plant,"This African violet relative is great for hanging baskets because it produces arching stems with showy flowers that dangle from branch tips. The tubular paired flowers have dark purple cups encircling scarlet flowers. The plant blooms heaviest in fall, but can flower sporadically year round. If you take it outdoors in summer, the red flowers may attract hummingbirds.",,Why We Love It: It's an easy-to-grow plant with flashy red flowers that really do look like tubes of lipstick.,Aeschynanthus radicans,Medium light; 60-80 degrees F.; keep soil evenly moist,To 20 inches tall and 36 inches wide,None. You're good!
Shrimp Plant,"Shrimp plant is a fast-growing shrub that can be kept compact by hard pruning. It's a good bloomer, producing flower spikes all year. Most varieties bear spikes of shrimp pink bracts with white tubular flowers. Others form yellow or chartreuse bracts that last a long time.",,Why We Love It: It has some of the most interesting blooms of any houseplant. Your friends will definitely notice it.,Justicia brandegeeana,Bright to intense light; 60-75 degrees F.; keep soil evenly moist,To 3 feet tall and 2 feet wide,None. You're good!
Ixora,"Ixora is sometimes called flame of the woods, because of its glowing orange, red, and yellow flower clusters. Its leathery foliage emerges bronze but turns glossy green. Give ixora abundant light, warmth, and humidity, but allow the soil to dry on the surface between waterings. Prune stems to keep the plant compact if they become leggy.",,"Why We Love It: Its big clusters of orange, pink, red, or yellow flowers are wonderful treats on winter days.",Ixora coccinea,Bright light; 65-80 degrees F.; keep soil moderately dry,To 5 feet tall and 4 feet wide,None. You're good!
Geranium,"Several types of geraniums are grown as houseplants. Regal or Martha Washington geranium, pictured, has the largest, showiest blooms, but requires cool growing conditions. The common garden geranium (P. x hortorum), and ivy geranium (P. peltatum), also offer showy flowers but on easier-growing plants. Most scented geraniums are grown primarily for their deeply divided, fragrant foliage rather than their flowers, which are insignificant.",,Why We Love It: It's so easy to grow that it's practically no-fail.,Pelargonium spp.,Bright to intense light; 60-75 degrees F.; keep soil moderately dry,To 3 feet tall and wide,None. You're good! 
Angel-Wing Begonia,"Several species are commonly called angel-wing begonia. All, including Begonia coccinea (pictured) are upright growing, sometimes reaching 6 feet tall. But by pinching back tall stems you can keep plants bushy and in the 2- to 3-foot range. In addition to having attractive green, silver, and maroon foliage, angel-wing begonias freely bloom with clusters of red, pink, or white blossoms.",,Why We Love It: Its beautiful wing-shaped leaves are just as attractive as the blooms so it's pretty all year long.,Begonia coccinea,Medium to bright light; 65-75 degrees F.; keep soil evenly moist,To 6 feet tall and 3 feet wide,"Note: The roots and stems can cause painful irritation of the mouth, lips, or throat if eaten or chewed by children or pets."
Rieger Begonia,Rieger begonia is one of the winter-blooming begonias. It has fibrous roots with a swollen tuber-like base. Clusters of camellia-like blossoms in warm colors ranging from yellow to orange and red appear on top of glossy green foliage. Rieger begonia looks good as a tabletop plant or in a hanging basket.,,"Why We Love It: It's an easy-to-grow plant with gorgeous, rose-shaped blooms.",Begonia x hiemalis,Medium to bright light; 65-75 degrees F.; keep soil evenly moist,To 18 inches tall and wide,"Note: The roots and stems can cause painful irritation of the mouth, lips, or throat if eaten or chewed by children or pets."
Wax Begonia,"Popular as an outdoor bedding plant, you can also grow wax begonia indoors where it will bloom all year if it has enough light and good air movement. Simply take cuttings of your plants in the garden for your indoor garden. The cuttings root quickly in water or moist potting soil.","Here's a tip: Make sure it has good air circulation, otherwise it may be attacked by fungal diseases.","Why We Love It: It's an easy bloomer with waxy foliage and colorful red, white, or pink flowers.",Begonia semperflorens,Bright light; 65-75 degrees F.; keep soil evenly moist,To 18 inches tall or wide,"Note: The roots and stems can cause painful irritation of the mouth, lips, or throat if eaten or chewed by children or pets."
Guzmania,"This member of the pineapple family has stiff glossy green, toothed foliage arranged in an upright vase shape. A shoot with colorful bracts arises from the center of the vase. The bright blooms may remain attractive for up to six months. Guzmania likes warm temperatures during its growth cycle, but bracts will last longer if you keep the plant cool while it is in bloom.",,"Why We Love It: Its colorful red, orange, yellow, or purple flower bracts look very tropical and exotic. It's a great conversation piece.",Guzmania lingulata,"Bright light; 65-80 degrees F., 60-65 degrees F. in winter; keep soil moderately dry, but water in the vase",To 3 feet tall and wide,None. You're good!
Silver Vase Plant,"The stiff, gray-green leaves of this pineapple relative are edged with spines and form an upright vase or urn shape. Silver vase plant sends up a large cluster of long-lasting pink bracts that bear short-lived purple flowers. After the bracts fade, new offshoots, called pups, develop at the base of the mother plant.",Here's a tip: Pour water directly into the vase to provide moisture for the plant.,"Why We Love It: It's one of the most dramatic, easy indoor plants you can grow.",Aechmea fasciata,Bright light; 65-75 degrees F.; water the foliage vase rather than the soil,To 3 feet tall and wide,None. You're good!
